Z,A,E,Theta,omega,sigma,error,citation
1,2,0.22,180.0,0.0435,37.0,6.0,Parker:1986
1,2,0.22,180.0,0.0436,173.0,7.0,Parker:1986
1,2,0.22,180.0,0.0438,249.0,7.0,Parker:1986
1,2,0.22,180.0,0.044,275.0,7.0,Parker:1986
1,2,0.22,180.0,0.0442,264.0,6.0,Parker:1986
1,2,0.22,180.0,0.0444,234.0,6.0,Parker:1986
1,2,0.22,180.0,0.0445,204.0,6.0,Parker:1986
1,2,0.22,180.0,0.0447,198.0,6.0,Parker:1986
1,2,0.22,180.0,0.0449,203.0,6.0,Parker:1986
1,2,0.22,180.0,0.0451,186.0,6.0,Parker:1986
1,2,0.22,180.0,0.0453,183.0,6.0,Parker:1986
1,2,0.22,180.0,0.0454,175.0,6.0,Parker:1986
1,2,0.22,180.0,0.0456,172.0,6.0,Parker:1986
1,2,0.22,180.0,0.0458,165.0,5.0,Parker:1986
1,2,0.22,180.0,0.046,172.0,5.0,Parker:1986
1,2,0.22,180.0,0.0462,164.0,5.0,Parker:1986
1,2,0.22,180.0,0.0463,152.0,5.0,Parker:1986
1,2,0.22,180.0,0.0465,151.0,5.0,Parker:1986
1,2,0.22,180.0,0.0467,148.0,5.0,Parker:1986
1,2,0.22,180.0,0.0469,157.0,6.0,Parker:1986
1,2,0.22,180.0,0.0471,158.0,5.0,Parker:1986
1,2,0.22,180.0,0.0475,150.0,2.0,Parker:1986
1,2,0.22,180.0,0.0491,151.0,2.0,Parker:1986
1,2,0.22,180.0,0.0508,169.0,2.0,Parker:1986
1,2,0.22,180.0,0.0524,191.0,2.0,Parker:1986
1,2,0.22,180.0,0.054,239.0,3.0,Parker:1986
1,2,0.22,180.0,0.0557,284.0,3.0,Parker:1986
1,2,0.22,180.0,0.0573,339.0,3.0,Parker:1986
1,2,0.22,180.0,0.0589,443.0,5.0,Parker:1986
1,2,0.22,180.0,0.0606,486.0,4.0,Parker:1986
1,2,0.22,180.0,0.0622,563.0,6.0,Parker:1986
1,2,0.22,180.0,0.0639,673.0,6.0,Parker:1986
1,2,0.22,180.0,0.0655,794.0,6.0,Parker:1986
1,2,0.22,180.0,0.0671,873.0,6.0,Parker:1986
1,2,0.22,180.0,0.0704,972.0,9.0,Parker:1986
1,2,0.22,180.0,0.0721,972.0,8.0,Parker:1986
1,2,0.22,180.0,0.0737,942.0,7.0,Parker:1986
1,2,0.22,180.0,0.0754,895.0,7.0,Parker:1986
1,2,0.22,180.0,0.0771,848.0,5.0,Parker:1986
1,2,0.22,180.0,0.0787,767.0,5.0,Parker:1986
1,2,0.22,180.0,0.0804,668.0,4.0,Parker:1986
1,2,0.22,180.0,0.082,572.0,5.0,Parker:1986
1,2,0.22,180.0,0.0837,502.0,5.0,Parker:1986
1,2,0.22,180.0,0.0854,421.0,6.0,Parker:1986
1,2,0.22,180.0,0.087,367.0,6.0,Parker:1986
1,2,0.22,180.0,0.0887,301.0,6.0,Parker:1986
1,2,0.22,180.0,0.0904,262.0,7.0,Parker:1986
1,2,0.22,180.0,0.092,221.0,7.0,Parker:1986
1,2,0.22,180.0,0.0943,207.0,4.0,Parker:1986
1,2,0.22,180.0,0.0971,182.0,3.0,Parker:1986
1,2,0.22,180.0,0.1006,133.0,6.0,Parker:1986
1,2,0.22,180.0,0.1041,121.0,3.0,Parker:1986
1,2,0.22,180.0,0.1076,84.0,7.0,Parker:1986
1,2,0.22,180.0,0.1111,97.0,5.0,Parker:1986
1,2,0.22,180.0,0.1147,83.0,3.0,Parker:1986
1,2,0.22,180.0,0.1182,53.0,8.0,Parker:1986
1,2,0.22,180.0,0.1217,55.0,3.0,Parker:1986
1,2,0.22,180.0,0.1253,43.0,9.0,Parker:1986
1,2,0.22,180.0,0.1288,46.0,4.0,Parker:1986
1,2,0.22,180.0,0.1324,49.0,5.0,Parker:1986
1,2,0.22,180.0,0.136,37.0,4.0,Parker:1986
1,2,0.22,180.0,0.1395,34.0,7.0,Parker:1986
1,2,0.22,180.0,0.1431,39.0,3.0,Parker:1986
1,2,0.22,180.0,0.1467,38.0,8.0,Parker:1986
1,2,0.22,180.0,0.1503,47.0,2.0,Parker:1986
1,2,0.22,180.0,0.1539,48.0,7.0,Parker:1986
1,2,0.22,180.0,0.1575,56.0,3.0,Parker:1986
1,2,0.269,180.0,0.0614,20.0,5.0,Parker:1986
1,2,0.269,180.0,0.0616,62.0,5.0,Parker:1986
1,2,0.269,180.0,0.0618,69.0,4.0,Parker:1986
1,2,0.269,180.0,0.062,80.0,5.0,Parker:1986
1,2,0.269,180.0,0.0621,61.0,4.0,Parker:1986
1,2,0.269,180.0,0.0623,65.0,4.0,Parker:1986
1,2,0.269,180.0,0.0625,59.0,4.0,Parker:1986
1,2,0.269,180.0,0.0627,56.0,4.0,Parker:1986
1,2,0.269,180.0,0.0628,63.0,4.0,Parker:1986
1,2,0.269,180.0,0.063,56.0,4.0,Parker:1986
1,2,0.269,180.0,0.0632,58.0,4.0,Parker:1986
1,2,0.269,180.0,0.0633,56.0,4.0,Parker:1986
1,2,0.269,180.0,0.0635,54.0,4.0,Parker:1986
1,2,0.269,180.0,0.0637,43.0,4.0,Parker:1986
1,2,0.269,180.0,0.0639,56.0,4.0,Parker:1986
1,2,0.269,180.0,0.064,59.0,4.0,Parker:1986
1,2,0.269,180.0,0.0642,57.0,4.0,Parker:1986
1,2,0.269,180.0,0.0644,48.0,4.0,Parker:1986
1,2,0.269,180.0,0.0646,43.0,4.0,Parker:1986
1,2,0.269,180.0,0.0647,34.0,3.0,Parker:1986
1,2,0.269,180.0,0.0649,34.0,3.0,Parker:1986
1,2,0.269,180.0,0.0653,44.0,1.0,Parker:1986
1,2,0.269,180.0,0.0669,47.0,1.0,Parker:1986
1,2,0.269,180.0,0.0685,49.0,1.0,Parker:1986
1,2,0.269,180.0,0.07,59.0,1.0,Parker:1986
1,2,0.269,180.0,0.0716,67.0,1.0,Parker:1986
1,2,0.269,180.0,0.0732,78.0,1.0,Parker:1986
1,2,0.269,180.0,0.0747,91.0,2.0,Parker:1986
1,2,0.269,180.0,0.0763,113.0,2.0,Parker:1986
1,2,0.269,180.0,0.0779,137.0,3.0,Parker:1986
1,2,0.269,180.0,0.0794,161.0,4.0,Parker:1986
1,2,0.269,180.0,0.081,168.0,2.0,Parker:1986
1,2,0.269,180.0,0.0826,203.0,2.0,Parker:1986
1,2,0.269,180.0,0.0842,230.0,3.0,Parker:1986
1,2,0.269,180.0,0.0858,266.0,3.0,Parker:1986
1,2,0.269,180.0,0.0873,313.0,3.0,Parker:1986
1,2,0.269,180.0,0.0889,373.0,4.0,Parker:1986
1,2,0.269,180.0,0.0905,454.0,6.0,Parker:1986
1,2,0.269,180.0,0.0921,476.0,4.0,Parker:1986
1,2,0.269,180.0,0.0937,523.0,4.0,Parker:1986
1,2,0.269,180.0,0.0953,588.0,4.0,Parker:1986
1,2,0.269,180.0,0.0969,603.0,4.0,Parker:1986
1,2,0.269,180.0,0.0985,621.0,5.0,Parker:1986
1,2,0.269,180.0,0.1001,642.0,4.0,Parker:1986
1,2,0.269,180.0,0.1017,620.0,4.0,Parker:1986
1,2,0.269,180.0,0.1033,590.0,4.0,Parker:1986
1,2,0.269,180.0,0.1049,555.0,4.0,Parker:1986
1,2,0.269,180.0,0.1065,494.0,4.0,Parker:1986
1,2,0.269,180.0,0.1081,454.0,4.0,Parker:1986
1,2,0.269,180.0,0.1097,397.0,4.0,Parker:1986
1,2,0.269,180.0,0.1113,342.0,4.0,Parker:1986
1,2,0.269,180.0,0.1129,292.0,4.0,Parker:1986
1,2,0.269,180.0,0.1145,263.0,4.0,Parker:1986
1,2,0.269,180.0,0.1161,232.0,4.0,Parker:1986
1,2,0.269,180.0,0.1177,207.0,4.0,Parker:1986
1,2,0.269,180.0,0.1193,179.0,5.0,Parker:1986
1,2,0.269,180.0,0.121,184.0,4.0,Parker:1986
1,2,0.269,180.0,0.1226,159.0,3.0,Parker:1986
1,2,0.269,180.0,0.1242,142.0,3.0,Parker:1986
1,2,0.269,180.0,0.1258,135.0,3.0,Parker:1986
1,2,0.269,180.0,0.1274,124.0,3.0,Parker:1986
1,2,0.269,180.0,0.1291,90.0,5.0,Parker:1986
1,2,0.269,180.0,0.1307,102.0,4.0,Parker:1986
1,2,0.269,180.0,0.1322,92.0,2.0,Parker:1986
1,2,0.269,180.0,0.1352,84.0,2.0,Parker:1986
1,2,0.269,180.0,0.139,68.0,3.0,Parker:1986
1,2,0.269,180.0,0.1428,63.0,2.0,Parker:1986
1,2,0.269,180.0,0.1466,53.0,4.0,Parker:1986
1,2,0.269,180.0,0.1504,43.0,2.0,Parker:1986
1,2,0.269,180.0,0.1542,37.0,2.0,Parker:1986
1,2,0.269,180.0,0.1581,37.0,2.0,Parker:1986
1,2,0.269,180.0,0.1619,29.0,8.0,Parker:1986
1,2,0.269,180.0,0.1657,31.0,2.0,Parker:1986
1,2,0.269,180.0,0.1696,36.0,5.0,Parker:1986
1,2,0.269,180.0,0.1734,43.0,4.0,Parker:1986
1,2,0.269,180.0,0.1773,38.0,4.0,Parker:1986
1,2,0.269,180.0,0.1812,52.0,5.0,Parker:1986
1,2,0.269,180.0,0.1851,49.0,4.0,Parker:1986
1,2,0.269,180.0,0.189,48.0,6.0,Parker:1986
1,2,0.269,180.0,0.1929,60.0,2.0,Parker:1986
1,2,0.269,180.0,0.1968,68.0,5.0,Parker:1986
1,2,0.269,180.0,0.2007,79.0,3.0,Parker:1986
1,2,0.269,180.0,0.2047,91.0,2.0,Parker:1986
1,2,0.269,180.0,0.2086,102.0,3.0,Parker:1986
1,2,0.269,180.0,0.2126,111.0,5.0,Parker:1986
1,2,0.32,180.0,0.0828,17.0,3.0,Parker:1986
1,2,0.32,180.0,0.083,16.0,3.0,Parker:1986
1,2,0.32,180.0,0.0831,15.0,3.0,Parker:1986
1,2,0.32,180.0,0.0833,24.0,3.0,Parker:1986
1,2,0.32,180.0,0.0835,22.0,2.0,Parker:1986
1,2,0.32,180.0,0.0836,24.0,2.0,Parker:1986
1,2,0.32,180.0,0.0838,25.0,2.0,Parker:1986
1,2,0.32,180.0,0.084,22.0,2.0,Parker:1986
1,2,0.32,180.0,0.0841,17.0,2.0,Parker:1986
1,2,0.32,180.0,0.0843,25.0,2.0,Parker:1986
1,2,0.32,180.0,0.0845,19.0,2.0,Parker:1986
1,2,0.32,180.0,0.0846,18.0,2.0,Parker:1986
1,2,0.32,180.0,0.0848,26.0,2.0,Parker:1986
1,2,0.32,180.0,0.085,24.0,2.0,Parker:1986
1,2,0.32,180.0,0.0851,23.0,2.0,Parker:1986
1,2,0.32,180.0,0.0853,22.0,2.0,Parker:1986
1,2,0.32,180.0,0.0855,23.0,2.0,Parker:1986
1,2,0.32,180.0,0.0856,20.0,2.0,Parker:1986
1,2,0.32,180.0,0.0858,22.0,2.0,Parker:1986
1,2,0.32,180.0,0.086,25.0,2.0,Parker:1986
1,2,0.32,180.0,0.0861,20.0,2.0,Parker:1986
1,2,0.32,180.0,0.0865,23.0,1.0,Parker:1986
1,2,0.32,180.0,0.088,24.0,1.0,Parker:1986
1,2,0.32,180.0,0.0895,28.0,2.0,Parker:1986
1,2,0.32,180.0,0.091,27.0,1.0,Parker:1986
1,2,0.32,180.0,0.0925,33.0,1.0,Parker:1986
1,2,0.32,180.0,0.0941,35.0,1.0,Parker:1986
1,2,0.32,180.0,0.0956,36.0,1.0,Parker:1986
1,2,0.32,180.0,0.0971,44.0,1.0,Parker:1986
1,2,0.32,180.0,0.0986,44.0,1.0,Parker:1986
1,2,0.32,180.0,0.1001,51.0,1.0,Parker:1986
1,2,0.32,180.0,0.1016,60.0,1.0,Parker:1986
1,2,0.32,180.0,0.1031,63.0,5.0,Parker:1986
1,2,0.32,180.0,0.1046,65.0,2.0,Parker:1986
1,2,0.32,180.0,0.1061,83.0,2.0,Parker:1986
1,2,0.32,180.0,0.1077,86.0,2.0,Parker:1986
1,2,0.32,180.0,0.1092,97.0,3.0,Parker:1986
1,2,0.32,180.0,0.1107,113.0,2.0,Parker:1986
1,2,0.32,180.0,0.1122,124.0,3.0,Parker:1986
1,2,0.32,180.0,0.1138,142.0,3.0,Parker:1986
1,2,0.32,180.0,0.1153,168.0,3.0,Parker:1986
1,2,0.32,180.0,0.1168,188.0,3.0,Parker:1986
1,2,0.32,180.0,0.1183,209.0,3.0,Parker:1986
1,2,0.32,180.0,0.1199,238.0,3.0,Parker:1986
1,2,0.32,180.0,0.1214,267.0,3.0,Parker:1986
1,2,0.32,180.0,0.1229,296.0,3.0,Parker:1986
1,2,0.32,180.0,0.1245,323.0,3.0,Parker:1986
1,2,0.32,180.0,0.126,351.0,3.0,Parker:1986
1,2,0.32,180.0,0.1275,398.0,6.0,Parker:1986
1,2,0.32,180.0,0.1291,406.0,9.0,Parker:1986
1,2,0.32,180.0,0.1322,378.0,7.0,Parker:1986
1,2,0.32,180.0,0.1353,345.0,4.0,Parker:1986
1,2,0.32,180.0,0.1384,298.0,4.0,Parker:1986
1,2,0.32,180.0,0.1415,267.0,3.0,Parker:1986
1,2,0.32,180.0,0.1446,210.0,3.0,Parker:1986
1,2,0.32,180.0,0.1477,173.0,3.0,Parker:1986
1,2,0.32,180.0,0.1508,143.0,4.0,Parker:1986
1,2,0.32,180.0,0.154,125.0,4.0,Parker:1986
1,2,0.32,180.0,0.1571,89.0,3.0,Parker:1986
1,2,0.32,180.0,0.1602,73.0,3.0,Parker:1986
1,2,0.32,180.0,0.1634,69.0,3.0,Parker:1986
1,2,0.32,180.0,0.1665,56.0,3.0,Parker:1986
1,2,0.32,180.0,0.1697,46.0,3.0,Parker:1986
1,2,0.32,180.0,0.1729,54.0,4.0,Parker:1986
1,2,0.32,180.0,0.1782,45.0,3.0,Parker:1986
1,2,0.32,180.0,0.1822,29.0,3.0,Parker:1986
1,2,0.32,180.0,0.1862,21.0,3.0,Parker:1986
1,2,0.32,180.0,0.1902,42.0,3.0,Parker:1986
1,2,0.32,180.0,0.1943,37.0,4.0,Parker:1986
1,2,0.32,180.0,0.1983,65.0,4.0,Parker:1986
1,2,0.32,180.0,0.2023,55.0,4.0,Parker:1986
1,2,0.32,180.0,0.2064,69.0,4.0,Parker:1986
1,2,0.32,180.0,0.2105,71.0,4.0,Parker:1986
1,2,0.32,180.0,0.2146,74.0,4.0,Parker:1986
1,2,0.32,180.0,0.2186,85.0,7.0,Parker:1986
1,2,0.32,180.0,0.2227,72.0,7.0,Parker:1986
1,2,0.32,180.0,0.2268,95.0,11.0,Parker:1986
1,2,0.32,180.0,0.231,127.0,9.0,Parker:1986
1,2,0.32,180.0,0.2351,120.0,7.0,Parker:1986
1,2,0.32,180.0,0.2392,142.0,8.0,Parker:1986
1,2,0.32,180.0,0.2434,153.0,9.0,Parker:1986
1,2,0.32,180.0,0.2475,167.0,12.0,Parker:1986
1,2,0.32,180.0,0.2517,232.0,9.0,Parker:1986
1,2,0.843,180.0,0.41700000000000004,0.0088,0.00122,Arnold:1988us
1,2,0.843,180.0,0.42100000000000004,0.0134,0.00148,Arnold:1988us
1,2,0.843,180.0,0.425,0.023,0.0020399999999999997,Arnold:1988us
1,2,0.843,180.0,0.429,0.0299,0.0024100000000000002,Arnold:1988us
1,2,0.843,180.0,0.434,0.0283,0.0023,Arnold:1988us
1,2,0.843,180.0,0.43799999999999994,0.0414,0.00299,Arnold:1988us
1,2,0.843,180.0,0.442,0.0553,0.00573,Arnold:1988us
1,2,0.843,180.0,0.446,0.069,0.00598,Arnold:1988us
1,2,0.843,180.0,0.45,0.0704,0.00607,Arnold:1988us
1,2,0.843,180.0,0.45399999999999996,0.0906,0.007390000000000001,Arnold:1988us
1,2,0.843,180.0,0.45799999999999996,0.0979,0.008029999999999999,Arnold:1988us
1,2,0.843,180.0,0.462,0.128,0.00983,Arnold:1988us
1,2,0.843,180.0,0.466,0.161,0.0155,Arnold:1988us
1,2,0.843,180.0,0.47,0.209,0.0168,Arnold:1988us
1,2,0.843,180.0,0.474,0.229,0.0182,Arnold:1988us
1,2,0.843,180.0,0.47700000000000004,0.28,0.0204,Arnold:1988us
1,2,0.843,180.0,0.48100000000000004,0.356,0.0257,Arnold:1988us
1,2,0.843,180.0,0.485,0.407,0.0276,Arnold:1988us
1,2,0.843,180.0,0.489,0.551,0.0475,Arnold:1988us
1,2,0.843,180.0,0.49200000000000005,0.609,0.0448,Arnold:1988us
1,2,0.843,180.0,0.496,0.808,0.0561,Arnold:1988us
1,2,0.843,180.0,0.499,1.07,0.0703,Arnold:1988us
1,2,0.843,180.0,0.503,1.19,0.0816,Arnold:1988us
1,2,0.843,180.0,0.506,1.42,0.09,Arnold:1988us
1,2,0.843,180.0,0.51,2.09,0.177,Arnold:1988us
1,2,0.843,180.0,0.513,2.58,0.182,Arnold:1988us
1,2,0.843,180.0,0.517,2.74,0.194,Arnold:1988us
1,2,0.843,180.0,0.52,3.49,0.236,Arnold:1988us
1,2,0.843,180.0,0.523,4.97,0.325,Arnold:1988us
1,2,0.843,180.0,0.526,5.72,0.356,Arnold:1988us
1,2,0.843,180.0,0.53,7.62,0.534,Arnold:1988us
1,2,0.843,180.0,0.5329999999999999,8.78,0.511,Arnold:1988us
1,2,0.843,180.0,0.536,9.87,0.576,Arnold:1988us
1,2,0.843,180.0,0.539,11.4,0.652,Arnold:1988us
1,2,0.843,180.0,0.542,10.9,0.666,Arnold:1988us
1,2,0.843,180.0,0.545,9.98,0.584,Arnold:1988us
1,2,0.843,180.0,0.5489999999999999,10.6,0.831,Arnold:1988us
1,2,0.843,180.0,0.552,9.8,0.67,Arnold:1988us
1,2,0.843,180.0,0.5539999999999999,8.71,0.614,Arnold:1988us
1,2,0.843,180.0,0.557,7.61,0.548,Arnold:1988us
1,2,0.843,180.0,0.56,6.57,0.504,Arnold:1988us
1,2,0.843,180.0,0.563,5.61,0.431,Arnold:1988us
1,2,0.843,180.0,0.5660000000000001,5.66,0.436,Arnold:1988us
1,2,0.843,180.0,0.569,4.89,0.35,Arnold:1988us
1,2,0.843,180.0,0.5720000000000001,4.27,0.319,Arnold:1988us
1,2,0.843,180.0,0.574,4.09,0.4,Arnold:1988us
1,2,0.843,180.0,0.5770000000000001,3.43,0.358,Arnold:1988us
1,2,0.843,180.0,0.58,3.28,0.327,Arnold:1988us
1,2,0.843,180.0,0.583,3.44,0.357,Arnold:1988us
1,2,0.843,180.0,0.585,3.41,0.337,Arnold:1988us
1,2,0.843,180.0,0.588,3.21,0.324,Arnold:1988us
1,2,0.843,180.0,0.59,3.08,0.312,Arnold:1988us
1,2,0.843,180.0,0.593,3.18,0.34,Arnold:1988us
1,2,0.843,180.0,0.595,3.02,0.309,Arnold:1988us
1,2,0.843,180.0,0.598,3.32,0.341,Arnold:1988us
1,2,0.843,180.0,0.601,3.08,0.303,Arnold:1988us
1,2,0.843,180.0,0.603,3.38,0.337,Arnold:1988us
1,2,0.843,180.0,0.605,3.57,0.357,Arnold:1988us
1,2,0.843,180.0,0.608,3.71,0.391,Arnold:1988us
1,2,0.843,180.0,0.61,3.84,0.386,Arnold:1988us
1,2,0.843,180.0,0.613,4.51,0.459,Arnold:1988us
1,2,0.843,180.0,0.615,5.0,0.485,Arnold:1988us
1,2,0.843,180.0,0.617,5.16,0.511,Arnold:1988us
1,2,0.843,180.0,0.62,6.11,0.601,Arnold:1988us
1,2,1.02,180.0,0.55,0.0017,0.000296,Arnold:1988us
1,2,1.02,180.0,0.555,0.00375,0.000446,Arnold:1988us
1,2,1.02,180.0,0.56,0.0030399999999999997,0.000379,Arnold:1988us
1,2,1.02,180.0,0.564,0.00615,0.000593,Arnold:1988us
1,2,1.02,180.0,0.569,0.00587,0.000566,Arnold:1988us
1,2,1.02,180.0,0.574,0.007679999999999999,0.000672,Arnold:1988us
1,2,1.02,180.0,0.578,0.00915,0.000956,Arnold:1988us
1,2,1.02,180.0,0.5820000000000001,0.012,0.0010199999999999999,Arnold:1988us
1,2,1.02,180.0,0.5870000000000001,0.0141,0.0011300000000000001,Arnold:1988us
1,2,1.02,180.0,0.591,0.0149,0.00117,Arnold:1988us
1,2,1.02,180.0,0.595,0.0176,0.0013,Arnold:1988us
1,2,1.02,180.0,0.6,0.0203,0.00143,Arnold:1988us
1,2,1.02,180.0,0.605,0.0289,0.0029,Arnold:1988us
1,2,1.02,180.0,0.609,0.0365,0.00302,Arnold:1988us
1,2,1.02,180.0,0.613,0.0439,0.00343,Arnold:1988us
1,2,1.02,180.0,0.617,0.0451,0.00346,Arnold:1988us
1,2,1.02,180.0,0.621,0.0566,0.00402,Arnold:1988us
1,2,1.02,180.0,0.625,0.0727,0.0048200000000000005,Arnold:1988us
1,2,1.02,180.0,0.63,0.0922,0.00896,Arnold:1988us
1,2,1.02,180.0,0.634,0.112,0.00903,Arnold:1988us
1,2,1.02,180.0,0.638,0.13,0.01,Arnold:1988us
1,2,1.02,180.0,0.6409999999999999,0.19,0.013,Arnold:1988us
1,2,1.02,180.0,0.645,0.215,0.0142,Arnold:1988us
1,2,1.02,180.0,0.649,0.238,0.0154,Arnold:1988us
1,2,1.02,180.0,0.653,0.347,0.029,Arnold:1988us
1,2,1.02,180.0,0.657,0.481,0.0323,Arnold:1988us
1,2,1.02,180.0,0.6609999999999999,0.575,0.0383,Arnold:1988us
1,2,1.02,180.0,0.664,0.722,0.0466,Arnold:1988us
1,2,1.02,180.0,0.6679999999999999,0.881,0.0575,Arnold:1988us
1,2,1.02,180.0,0.6709999999999999,1.06,0.0641,Arnold:1988us
1,2,1.02,180.0,0.675,1.48,0.111,Arnold:1988us
1,2,1.02,180.0,0.6779999999999999,1.81,0.11,Arnold:1988us
1,2,1.02,180.0,0.682,2.32,0.142,Arnold:1988us
1,2,1.02,180.0,0.685,2.81,0.166,Arnold:1988us
1,2,1.02,180.0,0.688,3.34,0.206,Arnold:1988us
1,2,1.02,180.0,0.6920000000000001,3.61,0.21,Arnold:1988us
1,2,1.02,180.0,0.6940000000000001,4.37,0.319,Arnold:1988us
1,2,1.02,180.0,0.6970000000000001,4.7,0.287,Arnold:1988us
1,2,1.02,180.0,0.7,4.51,0.282,Arnold:1988us
1,2,1.02,180.0,0.7040000000000001,4.59,0.285,Arnold:1988us
1,2,1.02,180.0,0.7070000000000001,4.08,0.27,Arnold:1988us
1,2,1.02,180.0,0.71,3.51,0.222,Arnold:1988us
1,2,1.02,180.0,0.713,3.54,0.344,Arnold:1988us
1,2,1.02,180.0,0.716,3.15,0.291,Arnold:1988us
1,2,1.02,180.0,0.7190000000000001,2.74,0.26,Arnold:1988us
1,2,1.02,180.0,0.722,2.58,0.246,Arnold:1988us
1,2,1.02,180.0,0.725,2.38,0.244,Arnold:1988us
1,2,1.02,180.0,0.728,2.03,0.201,Arnold:1988us
1,2,1.02,180.0,0.732,1.92,0.248,Arnold:1988us
1,2,1.02,180.0,0.735,1.97,0.239,Arnold:1988us
1,2,1.02,180.0,0.737,1.99,0.244,Arnold:1988us
1,2,1.02,180.0,0.74,1.48,0.192,Arnold:1988us
1,2,1.02,180.0,0.743,1.42,0.195,Arnold:1988us
1,2,1.02,180.0,0.746,1.71,0.223,Arnold:1988us
1,2,1.02,180.0,0.7490000000000001,1.97,0.212,Arnold:1988us
1,2,1.02,180.0,0.752,1.82,0.188,Arnold:1988us
1,2,1.02,180.0,0.754,1.9,0.198,Arnold:1988us
1,2,1.02,180.0,0.757,1.99,0.208,Arnold:1988us
1,2,1.02,180.0,0.76,2.08,0.229,Arnold:1988us
1,2,1.02,180.0,0.762,2.39,0.251,Arnold:1988us
1,2,1.02,180.0,0.765,2.71,0.308,Arnold:1988us
1,2,1.02,180.0,0.768,2.92,0.315,Arnold:1988us
1,2,1.02,180.0,0.77,3.57,0.383,Arnold:1988us
1,2,1.189,180.0,0.682,0.000275,8.75e-05,Arnold:1988us
1,2,1.189,180.0,0.687,0.000524,0.000122,Arnold:1988us
1,2,1.189,180.0,0.6920000000000001,0.0008810000000000001,0.00016,Arnold:1988us
1,2,1.189,180.0,0.6970000000000001,0.00122,0.00018899999999999999,Arnold:1988us
1,2,1.189,180.0,0.703,0.00125,0.000183,Arnold:1988us
1,2,1.189,180.0,0.708,0.00146,0.00018899999999999999,Arnold:1988us
1,2,1.189,180.0,0.713,0.0021100000000000003,0.000234,Arnold:1988us
1,2,1.189,180.0,0.7170000000000001,0.00292,0.000283,Arnold:1988us
1,2,1.189,180.0,0.722,0.0026100000000000003,0.000263,Arnold:1988us
1,2,1.189,180.0,0.727,0.00404,0.000344,Arnold:1988us
1,2,1.189,180.0,0.732,0.004220000000000001,0.0006129999999999999,Arnold:1988us
1,2,1.189,180.0,0.737,0.00545,0.000681,Arnold:1988us
1,2,1.189,180.0,0.741,0.006790000000000001,0.0007740000000000001,Arnold:1988us
1,2,1.189,180.0,0.746,0.0071400000000000005,0.000789,Arnold:1988us
1,2,1.189,180.0,0.75,0.00905,0.000904,Arnold:1988us
1,2,1.189,180.0,0.754,0.0126,0.0011099999999999999,Arnold:1988us
1,2,1.189,180.0,0.759,0.0143,0.00197,Arnold:1988us
1,2,1.189,180.0,0.764,0.0172,0.00202,Arnold:1988us
1,2,1.189,180.0,0.768,0.0151,0.00183,Arnold:1988us
1,2,1.189,180.0,0.772,0.0254,0.00255,Arnold:1988us
1,2,1.189,180.0,0.7759999999999999,0.0323,0.00297,Arnold:1988us
1,2,1.189,180.0,0.78,0.0349,0.0031100000000000004,Arnold:1988us
1,2,1.189,180.0,0.785,0.0512,0.00647,Arnold:1988us
1,2,1.189,180.0,0.789,0.0513,0.00607,Arnold:1988us
1,2,1.189,180.0,0.7929999999999999,0.07,0.007259999999999999,Arnold:1988us
1,2,1.189,180.0,0.797,0.084,0.0081,Arnold:1988us
1,2,1.189,180.0,0.8009999999999999,0.118,0.0101,Arnold:1988us
1,2,1.189,180.0,0.805,0.117,0.00992,Arnold:1988us
1,2,1.189,180.0,0.809,0.174,0.0185,Arnold:1988us
1,2,1.189,180.0,0.813,0.231,0.0218,Arnold:1988us
1,2,1.189,180.0,0.8170000000000001,0.27,0.0251,Arnold:1988us
1,2,1.189,180.0,0.82,0.371,0.032,Arnold:1988us
1,2,1.189,180.0,0.8240000000000001,0.489,0.0443,Arnold:1988us
1,2,1.189,180.0,0.828,0.58,0.0479,Arnold:1988us
1,2,1.189,180.0,0.8320000000000001,0.803,0.0775,Arnold:1988us
1,2,1.189,180.0,0.836,0.976,0.0854,Arnold:1988us
1,2,1.189,180.0,0.8390000000000001,1.28,0.111,Arnold:1988us
1,2,1.189,180.0,0.843,1.58,0.134,Arnold:1988us
1,2,1.189,180.0,0.846,1.78,0.161,Arnold:1988us
1,2,1.189,180.0,0.85,1.83,0.155,Arnold:1988us
1,2,1.189,180.0,0.853,2.12,0.21,Arnold:1988us
1,2,1.189,180.0,0.857,2.03,0.19,Arnold:1988us
1,2,1.189,180.0,0.86,1.95,0.187,Arnold:1988us
1,2,1.189,180.0,0.863,1.74,0.167,Arnold:1988us
1,2,1.189,180.0,0.867,1.57,0.162,Arnold:1988us
1,2,1.189,180.0,0.87,1.55,0.152,Arnold:1988us
1,2,1.189,180.0,0.873,1.26,0.128,Arnold:1988us
1,2,1.189,180.0,0.877,1.2,0.116,Arnold:1988us
1,2,1.189,180.0,0.88,1.07,0.106,Arnold:1988us
1,2,1.189,180.0,0.883,0.98,0.116,Arnold:1988us
1,2,1.189,180.0,0.8859999999999999,1.01,0.124,Arnold:1988us
1,2,1.189,180.0,0.889,1.01,0.121,Arnold:1988us
1,2,1.189,180.0,0.892,0.951,0.117,Arnold:1988us
1,2,1.189,180.0,0.895,0.868,0.103,Arnold:1988us
1,2,1.189,180.0,0.898,1.02,0.123,Arnold:1988us
1,2,1.189,180.0,0.9009999999999999,0.948,0.114,Arnold:1988us
